Ano;Area;NIVEL_1;REG_HIDR;DIV_HIDRO;NIVEL_2;NIVEL_3;GEOCODIGO;NOME;UF;REGIAO;MESOREGIAO;MICROREGIA
2020;2,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5216809;Petrolina de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;15,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;1,70000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;8,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5216809;Petrolina de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;8,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5216809;Petrolina de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;5,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5216809;Petrolina de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;3,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5216809;Petrolina de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;72,30000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;40,70000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;40,00000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;42,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;39,00000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;73,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;70,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;47,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
